Question Text;Question Type;Option 1;Option 2;Option 3;Option 4;Option 5;Correct Answer;Time in seconds;Image Link;Answer explanation
Quelle est la définition de la psychologie du développement ?;Multiple Choice;Étude des émotions;Étude des changements développementaux;Étude de la biologie humaine;Étude de la mémoire uniquement;;2;30;;La psychologie du développement étudie les changements développementaux tout au long de la vie.
Quels sont les domaines clés de la psychologie du développement ?;Multiple Choice;Cognitif, physique, social, personnalité;Physique, biologique, linguistique, social;Cognitif, artistique, physique, intellectuel;Social, culturel, scientifique, affectif;;1;30;;Les domaines incluent le cognitif, le physique, le social et la personnalité.
Quel processus est central dans le constructivisme de Piaget ?;Multiple Choice;L'assimilation;L'adaptation;L'accommodation;L'équilibration;;4;30;;L'équilibration permet de restructurer les schèmes cognitifs.
À quel âge commence le stade des opérations concrètes selon Piaget ?;Multiple Choice;0-2 ans;2-7 ans;7-12 ans;12 ans et plus;;3;30;;Le stade des opérations concrètes débute vers 7 ans.
Quelle est une critique de la théorie de Piaget ?;Multiple Choice;Elle sous-estime le rôle de l'affectif et du social;Elle exclut les interactions biologiques;Elle ignore les aspects cognitifs;Elle n'inclut pas de tests standardisés;;1;30;;La critique porte sur le manque d'attention à l'affectif et au social.
Qu'est-ce qu'un schème selon Piaget ?;Multiple Choice;Une structure interne de l'action;Une mémoire fixe;Un processus social;Un élément biologique;;1;30;;Un schème est une structure interne qui guide l'action.
Comment Freinet concevait-il la pédagogie ?;Multiple Choice;Basée sur l'expérience concrète;Basée sur la mémorisation;Basée sur l'enseignement magistral;Basée sur l'analyse logique;;1;30;;Freinet mettait l'accent sur l'expérience concrète.
Quel est le point commun entre Freinet et Oury ?;Multiple Choice;L'importance de l'autoévaluation;L'usage des tests standardisés;L'exclusion de la coopération;L'enseignement directif;;1;30;;Les deux mettent l'accent sur l'autoévaluation.
Dans quel domaine Charpak a-t-il apporté sa pédagogie ?;Multiple Choice;Les mathématiques;Les sciences;Les arts;La littérature;;2;30;;Charpak s'est concentré sur l'enseignement des sciences.
Quel concept clé est lié à Vygotski ?;Multiple Choice;La zone proximale de développement;Les stades du développement;Les schèmes sensorimoteurs;Les réseaux neuronaux;;1;30;;La zone proximale de développement est centrale chez Vygotski.
