Question Text;Question Type;Option 1;Option 2;Option 3;Option 4;Option 5;Correct Answer;Time in seconds;Image Link;Answer explanation
Qu'est-ce qu'un framework Big Data ?;Multiple Choice;Un outil pour traiter de petits ensembles de données;Un ensemble d'outils pour le traitement des données massives;Un logiciel de visualisation de données;Un système de stockage uniquement;;2;30;;Un framework Big Data permet de traiter, stocker et analyser de grandes quantités de données.
Quel est le rôle principal d'Hadoop dans les Big Data ?;Multiple Choice;Stockage des données uniquement;Traitement des données uniquement;Stockage et traitement des données massives;Création de visualisations interactives;;3;30;;Hadoop est conçu pour le stockage et le traitement des grandes quantités de données.
Qu'est-ce qu'HDFS dans Hadoop ?;Multiple Choice;Un système de fichiers distribué;Un outil de visualisation;Une base de données NoSQL;Un système d'analyse en temps réel;;1;30;;HDFS (Hadoop Distributed File System) est un système de fichiers conçu pour stocker des données massives de manière distribuée.
À quoi sert Spark dans les Big Data ?;Multiple Choice;Créer des dashboards;Traitement de données massives en mémoire;Stocker des données massives;Générer des rapports statistiques;;2;30;;Apache Spark est conçu pour le traitement rapide de données en mémoire.
Quelle est la différence entre Hadoop et Spark ?;Multiple Choice;Hadoop est plus rapide;Spark utilise la mémoire, Hadoop fonctionne sur disque;Hadoop est payant, Spark est gratuit;Il n'y a aucune différence;;2;30;;Spark traite les données en mémoire, tandis qu'Hadoop fonctionne principalement sur disque.
Qu'est-ce qu'une base de données NoSQL ?;Multiple Choice;Une base de données relationnelle;Une base adaptée aux données massives;Un type de base de données uniquement pour le SQL;Une base de données uniquement pour le cloud;;2;30;;Les bases NoSQL sont adaptées pour stocker et gérer des données massives et non structurées.
Quels sont les composants clés d'Hadoop ?;Multiple Choice;HDFS et MapReduce;Spark et Tableau;SQL et JSON;Hive et Pig;;1;30;;Les composants principaux d'Hadoop sont HDFS pour le stockage et MapReduce pour le traitement des données.
Qu'est-ce que MapReduce ?;Multiple Choice;Un système de fichiers;Un modèle de programmation pour le traitement distribué;Une base de données pour les Big Data;Un outil de visualisation;;2;30;;MapReduce est un modèle de programmation pour traiter de grandes quantités de données de manière distribuée.
Qu'est-ce qu'Apache Hive ?;Multiple Choice;Un outil de gestion des bases relationnelles;Un moteur SQL sur Hadoop;Une bibliothèque de machine learning;Une base de données NoSQL;;2;30;;Hive est un moteur SQL conçu pour travailler sur des données stockées dans Hadoop.
À quoi sert Apache Pig ?;Multiple Choice;Créer des interfaces graphiques;Exécuter des scripts pour traiter des données dans Hadoop;Analyser des données en temps réel;Stocker des données massives;;2;30;;Pig est un outil qui permet de traiter des données avec des scripts sur Hadoop.
